AoA,        Cd,         Reynolds   
    -120.00,     1.2358,   160000.0
     -90.00,     1.6376,   160000.0
     -60.00,     1.2343,   160000.0
     -30.00,     0.4152,   160000.0
     -10.00,     0.0283,   160000.0
      -9.50,     0.0264,   160000.0
      -9.00,     0.0247,   160000.0
      -8.50,     0.0231,   160000.0
      -8.00,     0.0219,   160000.0
      -7.50,     0.0207,   160000.0
      -7.00,     0.0196,   160000.0
      -6.50,     0.0186,   160000.0
      -6.00,     0.0178,   160000.0
      -5.50,     0.0170,   160000.0
      -5.00,     0.0163,   160000.0
      -4.50,     0.0158,   160000.0
      -4.00,     0.0153,   160000.0
      -3.50,     0.0148,   160000.0
      -3.00,     0.0145,   160000.0
      -2.50,     0.0142,   160000.0
      -2.00,     0.0140,   160000.0
      -1.50,     0.0138,   160000.0
      -1.00,     0.0136,   160000.0
      -0.50,     0.0134,   160000.0
       0.00,     0.0131,   160000.0
       0.50,     0.0128,   160000.0
       1.00,     0.0126,   160000.0
       1.50,     0.0128,   160000.0
       2.00,     0.0131,   160000.0
       2.50,     0.0134,   160000.0
       3.00,     0.0138,   160000.0
       3.50,     0.0141,   160000.0
       4.00,     0.0146,   160000.0
       4.50,     0.0150,   160000.0
       5.00,     0.0154,   160000.0
       5.50,     0.0159,   160000.0
       6.00,     0.0165,   160000.0
       6.50,     0.0170,   160000.0
       7.00,     0.0176,   160000.0
       7.50,     0.0182,   160000.0
       8.00,     0.0189,   160000.0
       8.50,     0.0197,   160000.0
       9.00,     0.0208,   160000.0
       9.50,     0.0221,   160000.0
      10.00,     0.0236,   160000.0
      10.50,     0.0256,   160000.0
      11.00,     0.0280,   160000.0
      11.50,     0.0309,   160000.0
      12.00,     0.0344,   160000.0
      12.50,     0.0383,   160000.0
      13.00,     0.0428,   160000.0
      13.50,     0.0479,   160000.0
      14.00,     0.0534,   160000.0
      14.50,     0.0594,   160000.0
      15.00,     0.0658,   160000.0
      15.50,     0.0726,   160000.0
      16.00,     0.0797,   160000.0
      16.50,     0.0872,   160000.0
      17.00,     0.0949,   160000.0
      17.50,     0.1024,   160000.0
      18.00,     0.1102,   160000.0
