AoA,        Cl,         Reynolds   
      15.00,     1.3669,   140000.0
      15.50,     1.3601,   140000.0
      16.00,     1.3530,   140000.0
      16.50,     1.3454,   140000.0
      17.00,     1.3373,   140000.0
      17.50,     1.3306,   140000.0
      18.00,     1.3257,   140000.0
      18.50,     1.3200,   140000.0
      19.00,     1.3169,   140000.0
      19.50,     1.3146,   140000.0
      20.00,     1.3125,   140000.0
      20.50,     1.3117,   140000.0
      21.00,     1.3109,   140000.0
      21.50,     1.3093,   140000.0
      22.00,     1.3087,   140000.0
      22.50,     1.3046,   140000.0
      23.00,     1.2987,   140000.0
      23.50,     1.2921,   140000.0
      24.00,     1.2496,   140000.0
      25.00,     1.1951,   140000.0
      26.00,     1.1931,   140000.0
      27.00,     1.1934,   140000.0
      28.00,     1.1957,   140000.0
      29.00,     1.1996,   140000.0
      30.00,     1.2050,   140000.0
      60.00,     1.2308,   140000.0
      90.00,     0.2378,   140000.0
     120.00,    -0.9912,   140000.0
     150.00,    -1.0732,   140000.0
     180.00,    -0.1194,   140000.0
    -180.00,    -0.1209,   160000.0
    -150.00,     0.4882,   160000.0
    -120.00,     0.3153,   160000.0
     -90.00,    -0.0522,   160000.0
     -60.00,    -0.3679,   160000.0
     -30.00,    -0.4634,   160000.0
     -10.00,    -0.6338,   160000.0
      -9.50,    -0.5811,   160000.0
      -9.00,    -0.5313,   160000.0
      -8.50,    -0.4797,   160000.0
      -8.00,    -0.4267,   160000.0
      -7.50,    -0.3727,   160000.0
      -7.00,    -0.3183,   160000.0
      -6.50,    -0.2633,   160000.0
      -6.00,    -0.2079,   160000.0
      -5.50,    -0.1523,   160000.0
      -5.00,    -0.0976,   160000.0
      -4.50,    -0.0432,   160000.0
      -4.00,     0.0121,   160000.0
      -3.50,     0.0671,   160000.0
      -3.00,     0.1213,   160000.0
      -2.50,     0.1760,   160000.0
      -2.00,     0.2297,   160000.0
      -1.50,     0.2835,   160000.0
      -1.00,     0.3365,   160000.0
      -0.50,     0.3890,   160000.0
       0.00,     0.4394,   160000.0
       0.50,     0.4876,   160000.0
       1.00,     0.5360,   160000.0
       1.50,     0.6077,   160000.0
       2.00,     0.6796,   160000.0
       2.50,     0.7271,   160000.0
       3.00,     0.7754,   160000.0
       3.50,     0.8242,   160000.0
       4.00,     0.8731,   160000.0
       4.50,     0.9219,   160000.0
       5.00,     0.9703,   160000.0
       5.50,     1.0180,   160000.0
       6.00,     1.0647,   160000.0
       6.50,     1.1101,   160000.0
       7.00,     1.1536,   160000.0
       7.50,     1.1946,   160000.0
       8.00,     1.2322,   160000.0
       8.50,     1.2633,   160000.0
       9.00,     1.2914,   160000.0
       9.50,     1.3168,   160000.0
      10.00,     1.3389,   160000.0
      10.50,     1.3571,   160000.0
      11.00,     1.3711,   160000.0
      11.50,     1.3811,   160000.0
      12.00,     1.3879,   160000.0
      12.50,     1.3921,   160000.0
      13.00,     1.3942,   160000.0
      13.50,     1.3931,   160000.0
      14.00,     1.3922,   160000.0
      14.50,     1.3891,   160000.0
      15.00,     1.3846,   160000.0
      15.50,     1.3793,   160000.0
      16.00,     1.3731,   160000.0
      16.50,     1.3659,   160000.0
      17.00,     1.3580,   160000.0
      17.50,     1.3527,   160000.0
      18.00,     1.3461,   160000.0
      18.50,     1.3401,   160000.0
      19.00,     1.3366,   160000.0
      19.50,     1.3316,   160000.0
      20.00,     1.3305,   160000.0
      20.50,     1.3277,   160000.0
      21.00,     1.3270,   160000.0
      21.50,     1.3260,   160000.0
      22.00,     1.3243,   160000.0
      22.50,     1.3233,   160000.0
      23.00,     1.3195,   160000.0
      23.50,     1.3139,   160000.0
      24.00,     1.3115,   160000.0
      24.50,     1.2775,   160000.0
      25.00,     1.2700,   160000.0
      26.00,     1.2139,   160000.0
      27.00,     1.2134,   160000.0
      28.00,     1.2148,   160000.0
      29.00,     1.2180,   160000.0
      30.00,     1.2226,   160000.0
      60.00,     1.2383,   160000.0
      90.00,     0.2400,   160000.0
     120.00,    -0.9946,   160000.0
     150.00,    -1.0769,   160000.0
     180.00,    -0.1209,   160000.0
    -180.00,    -0.1219,   180000.0
